               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026237,            0.016508,          0.00042501,             0.85693,              0.7285,              0.7827,             0.52731,            0.027734,            0.010156,          0.00032953,            0.006535,            0.006535,            0.006535
                  37,            0.026381,            0.016676,          0.00040319,             0.80391,             0.74035,             0.77414,             0.50948,            0.028234,            0.010268,          0.00034347,            0.006436,            0.006436,            0.006436
                  38,            0.025299,            0.016892,          0.00040013,             0.81903,             0.71253,             0.76038,             0.51579,            0.027753,            0.010444,          0.00034442,            0.006337,            0.006337,            0.006337
                  39,            0.026022,            0.016495,          0.00041484,             0.82026,             0.72973,             0.75509,             0.50617,            0.028672,            0.010118,          0.00034174,            0.006238,            0.006238,            0.006238
                  40,            0.024849,            0.016334,          0.00039998,             0.76419,             0.75676,             0.76013,             0.52465,            0.028276,            0.010062,          0.00035771,            0.006139,            0.006139,            0.006139
                  41,            0.025035,            0.015836,          0.00038931,             0.79153,             0.71833,             0.74538,             0.50299,             0.02798,            0.010392,           0.0003909,             0.00604,             0.00604,             0.00604
                  42,            0.024591,            0.015903,          0.00038917,             0.79005,             0.74427,             0.76901,              0.5314,            0.027307,            0.010169,          0.00035576,            0.005941,            0.005941,            0.005941
                  43,            0.024289,            0.015527,          0.00036375,             0.80182,             0.72566,              0.7639,             0.49445,            0.028113,            0.010744,          0.00035568,            0.005842,            0.005842,            0.005842
                  44,            0.023922,            0.015789,          0.00035338,             0.81256,             0.74939,             0.78071,             0.53521,            0.026404,            0.010133,          0.00033908,            0.005743,            0.005743,            0.005743
                  45,            0.023536,            0.015754,          0.00035694,              0.7744,             0.73464,               0.755,               0.526,            0.027184,            0.010235,          0.00030447,            0.005644,            0.005644,            0.005644
                  46,            0.022978,             0.01568,          0.00034773,             0.78984,             0.72973,             0.74861,             0.51028,            0.027922,            0.010191,          0.00031519,            0.005545,            0.005545,            0.005545
                  47,            0.023495,            0.015611,          0.00034967,             0.79465,             0.73342,             0.76009,             0.52038,            0.028121,            0.010087,          0.00032263,            0.005446,            0.005446,            0.005446
                  48,            0.023595,            0.015343,          0.00033694,              0.7804,             0.76403,             0.76967,             0.53128,            0.027094,            0.010002,          0.00031168,            0.005347,            0.005347,            0.005347
                  49,            0.023458,            0.015416,           0.0003262,             0.80536,             0.75232,             0.77747,             0.53141,             0.02835,           0.0099948,          0.00033199,            0.005248,            0.005248,            0.005248
                  50,            0.022973,            0.015202,          0.00031127,             0.76169,             0.73833,             0.74462,             0.50712,            0.028264,            0.010618,          0.00030178,            0.005149,            0.005149,            0.005149
                  51,            0.024216,            0.015118,          0.00030034,             0.81594,             0.74066,             0.78115,             0.53575,            0.026868,            0.010133,           0.0002692,             0.00505,             0.00505,             0.00505
                  52,            0.022177,             0.01503,          0.00029916,             0.82819,             0.74447,             0.78167,             0.54322,            0.027256,             0.01021,          0.00027982,            0.004951,            0.004951,            0.004951
                  53,            0.022718,            0.014919,          0.00029684,             0.82463,             0.73943,             0.76728,               0.534,            0.025773,            0.010489,          0.00031131,            0.004852,            0.004852,            0.004852
                  54,            0.022243,            0.014634,          0.00028565,             0.83573,              0.7629,             0.78569,             0.54318,            0.027216,            0.010113,          0.00036203,            0.004753,            0.004753,            0.004753
                  55,            0.021943,            0.014751,           0.0002936,             0.82196,             0.76904,             0.79504,             0.55006,            0.026527,            0.010161,          0.00031704,            0.004654,            0.004654,            0.004654
                  56,            0.021815,             0.01459,          0.00027819,             0.81483,             0.75184,             0.77679,             0.54109,            0.027085,            0.010166,          0.00032808,            0.004555,            0.004555,            0.004555
                  57,            0.021344,            0.014252,           0.0002486,              0.8483,             0.74191,             0.78962,              0.5571,            0.027585,            0.010039,          0.00032424,            0.004456,            0.004456,            0.004456
                  58,            0.021496,            0.014475,          0.00026493,             0.81931,             0.72971,             0.76218,             0.52152,            0.028644,            0.010599,          0.00038542,            0.004357,            0.004357,            0.004357
                  59,            0.021256,            0.014644,          0.00025617,             0.84464,             0.74324,             0.78434,             0.54737,             0.02763,            0.010196,          0.00032224,            0.004258,            0.004258,            0.004258
                  60,            0.021116,            0.013788,          0.00024962,             0.79814,             0.76747,             0.77859,             0.54758,            0.027815,             0.01047,          0.00029351,            0.004159,            0.004159,            0.004159
                  61,            0.021536,            0.014107,           0.0002542,             0.81255,             0.75676,             0.78533,             0.55409,            0.027147,            0.010162,          0.00026326,             0.00406,             0.00406,             0.00406
                  62,              0.0207,            0.013823,          0.00024419,             0.85794,             0.74191,             0.77942,             0.54409,            0.027442,            0.010577,            0.000293,            0.003961,            0.003961,            0.003961
                  63,            0.021214,            0.013569,          0.00023885,             0.83562,             0.74447,             0.77155,             0.52801,            0.027378,             0.01085,           0.0002515,            0.003862,            0.003862,            0.003862
                  64,            0.020158,            0.013869,          0.00022602,             0.81158,             0.77273,             0.79756,             0.55272,            0.027124,            0.010446,          0.00023657,            0.003763,            0.003763,            0.003763
                  65,            0.019932,            0.013737,          0.00023567,             0.84806,             0.70885,             0.77372,             0.53205,            0.028031,            0.011058,          0.00029934,            0.003664,            0.003664,            0.003664
                  66,             0.02067,            0.013839,          0.00023039,             0.81495,             0.75307,             0.77536,             0.54437,            0.027049,            0.010661,          0.00024681,            0.003565,            0.003565,            0.003565
                  67,            0.019973,             0.01336,          0.00022338,             0.82393,             0.74201,             0.77058,             0.53959,            0.026692,            0.011039,          0.00024958,            0.003466,            0.003466,            0.003466
                  68,             0.01917,            0.012823,          0.00021522,             0.83243,             0.75672,             0.78366,             0.54474,            0.027108,            0.010526,          0.00024389,            0.003367,            0.003367,            0.003367
                  69,            0.018799,            0.013181,          0.00020607,              0.8606,             0.72973,             0.78304,              0.5444,            0.026396,            0.010655,          0.00022542,            0.003268,            0.003268,            0.003268
                  70,            0.019442,            0.013293,           0.0002028,             0.87609,             0.72964,             0.78586,             0.55161,            0.026948,             0.01052,           0.0002351,            0.003169,            0.003169,            0.003169
                  71,            0.018883,            0.012725,          0.00018817,             0.81811,             0.76536,             0.78868,             0.55826,            0.026212,            0.010235,          0.00024244,             0.00307,             0.00307,             0.00307
                  72,            0.019156,            0.012797,            0.000184,             0.82249,             0.74569,             0.77659,              0.5509,            0.026773,            0.010718,          0.00022613,            0.002971,            0.002971,            0.002971
                  73,            0.018728,            0.012996,          0.00018179,              0.8147,             0.76904,             0.79655,             0.56675,             0.02697,            0.010444,          0.00022292,            0.002872,            0.002872,            0.002872
                  74,              0.0184,            0.012385,          0.00017593,             0.83861,              0.7543,             0.78637,             0.56614,            0.027557,            0.010473,          0.00023529,            0.002773,            0.002773,            0.002773
                  75,            0.018837,            0.012615,          0.00017545,             0.83456,             0.75061,             0.78326,             0.55812,            0.027273,            0.010466,          0.00022675,            0.002674,            0.002674,            0.002674
                  76,            0.018016,            0.012412,          0.00017281,             0.83573,             0.72604,             0.77279,             0.54312,            0.026813,            0.010771,          0.00021945,            0.002575,            0.002575,            0.002575
                  77,            0.019021,            0.012342,          0.00016615,             0.84066,             0.75183,             0.79347,             0.56238,            0.026983,            0.010784,          0.00021847,            0.002476,            0.002476,            0.002476
                  78,            0.017953,            0.012672,           0.0001613,             0.79586,             0.77396,             0.78022,             0.55421,            0.026307,            0.010652,           0.0002129,            0.002377,            0.002377,            0.002377
                  79,            0.017711,             0.01254,          0.00015204,             0.82887,             0.76162,             0.78292,             0.54696,            0.026935,             0.01054,          0.00022067,            0.002278,            0.002278,            0.002278
                  80,            0.017743,               0.012,          0.00014756,             0.83399,             0.75307,             0.79178,             0.56595,            0.026505,            0.010821,          0.00020169,            0.002179,            0.002179,            0.002179
                  81,            0.017142,            0.012078,          0.00013963,              0.8832,             0.72462,             0.79532,             0.57749,            0.026394,            0.010456,          0.00017933,             0.00208,             0.00208,             0.00208
                  82,            0.017398,            0.012065,           0.0001311,              0.8468,             0.73336,             0.78933,             0.56284,            0.026753,             0.01093,          0.00018251,            0.001981,            0.001981,            0.001981
                  83,            0.017607,            0.011705,          0.00013308,             0.84875,              0.7457,             0.79454,             0.57531,            0.027059,            0.010845,          0.00019703,            0.001882,            0.001882,            0.001882
                  84,            0.017332,            0.012056,          0.00013255,             0.84441,             0.73338,             0.78182,             0.56434,            0.027099,            0.010549,          0.00018578,            0.001783,            0.001783,            0.001783
                  85,            0.016432,            0.011708,          0.00011745,             0.83705,             0.73219,             0.78468,             0.57117,            0.027087,            0.010674,          0.00017511,            0.001684,            0.001684,            0.001684
                  86,            0.016902,            0.011636,          0.00011837,             0.85874,              0.7468,             0.78933,             0.57166,            0.026549,            0.010743,          0.00018026,            0.001585,            0.001585,            0.001585
                  87,            0.016775,            0.011677,          0.00011702,             0.86384,             0.74939,             0.79398,              0.5796,             0.02659,            0.010619,          0.00019781,            0.001486,            0.001486,            0.001486
                  88,            0.015945,            0.011412,           0.0001053,              0.8348,             0.75799,             0.78987,             0.56981,            0.026641,             0.01083,          0.00020534,            0.001387,            0.001387,            0.001387
                  89,             0.01597,            0.011196,          0.00010471,             0.85188,             0.73587,             0.78447,              0.5677,            0.026618,            0.010929,          0.00019595,            0.001288,            0.001288,            0.001288
                  90,            0.015484,            0.011308,          9.5353e-05,              0.8243,             0.76781,             0.79619,              0.5796,             0.02688,            0.010714,          0.00017271,            0.001189,            0.001189,            0.001189
                  91,            0.016347,            0.011565,          9.5954e-05,             0.86774,             0.71735,             0.79645,             0.58391,            0.026845,            0.010802,          0.00018841,             0.00109,             0.00109,             0.00109
                  92,            0.015791,            0.011352,          9.2413e-05,             0.83175,             0.75915,             0.78922,             0.57677,            0.026789,            0.010761,          0.00017799,            0.000991,            0.000991,            0.000991
                  93,            0.015847,            0.011373,          8.7327e-05,             0.84038,             0.75673,              0.7934,              0.5846,            0.026957,            0.010862,          0.00018902,            0.000892,            0.000892,            0.000892
                  94,            0.015589,            0.011044,          8.7919e-05,             0.82869,             0.77254,             0.79766,             0.58688,            0.026912,            0.010663,          0.00019507,            0.000793,            0.000793,            0.000793
                  95,            0.015767,            0.011088,          8.6563e-05,              0.8249,             0.76975,               0.796,               0.584,            0.026669,            0.010588,          0.00017313,            0.000694,            0.000694,            0.000694
                  96,            0.014938,            0.011172,          7.9459e-05,             0.84375,             0.75676,             0.80029,             0.59075,            0.026795,            0.010723,          0.00018364,            0.000595,            0.000595,            0.000595
                  97,            0.015336,            0.010973,          7.8537e-05,             0.84886,              0.7383,             0.79352,             0.58684,            0.026711,             0.01085,          0.00018292,            0.000496,            0.000496,            0.000496
                  98,            0.014919,            0.010981,          7.9153e-05,             0.83884,             0.74814,             0.79778,              0.5858,            0.026949,            0.010828,           0.0001864,            0.000397,            0.000397,            0.000397
                  99,            0.014969,             0.01078,          0.00011006,             0.84674,             0.75061,             0.79859,             0.58701,            0.026711,            0.010762,          0.00018848,            0.000298,            0.000298,            0.000298
