               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091977,            0.031681,            0.031855,             0.39757,             0.37761,             0.27617,            0.084512,            0.066125,            0.025269,            0.008604,           0.0033025,           0.0033025,            0.070278
                   1,            0.072017,            0.026488,           0.0069895,             0.22735,             0.43881,             0.16086,            0.040195,             0.08202,            0.015599,           0.0045699,           0.0064168,           0.0064168,            0.040059
                   2,            0.072224,            0.023444,           0.0056755,             0.36241,             0.50746,             0.36682,             0.10213,            0.070907,              0.0179,           0.0029775,           0.0093112,           0.0093112,           0.0096198
                   3,            0.061036,            0.024035,           0.0041611,             0.48657,             0.59701,             0.43932,             0.17845,             0.05144,            0.017794,           0.0028304,             0.00901,             0.00901,             0.00901
                   4,            0.052053,            0.024732,           0.0034062,             0.61401,             0.53731,             0.53712,             0.23551,            0.044144,            0.019556,           0.0025328,             0.00901,             0.00901,             0.00901
                   5,            0.047907,            0.023971,           0.0028313,             0.69391,             0.55152,             0.59256,             0.22328,            0.046209,            0.019202,           0.0021738,             0.00868,             0.00868,             0.00868
                   6,            0.043566,            0.023154,           0.0024515,             0.69062,             0.60306,             0.62026,             0.30523,            0.042607,            0.017678,            0.001822,             0.00835,             0.00835,             0.00835
                   7,            0.040722,            0.023366,           0.0021507,             0.66106,             0.65821,             0.64913,             0.31725,            0.039603,            0.017187,           0.0017015,             0.00802,             0.00802,             0.00802
                   8,            0.039137,            0.022019,           0.0020469,             0.69953,             0.67757,             0.67197,             0.36676,            0.038761,            0.017403,           0.0016827,             0.00769,             0.00769,             0.00769
                   9,            0.036665,            0.022181,            0.001818,             0.75936,             0.65522,             0.70144,             0.40431,            0.035615,            0.017007,           0.0015134,             0.00736,             0.00736,             0.00736
                  10,            0.035535,             0.02156,           0.0018172,             0.75118,              0.6806,              0.7159,             0.42598,            0.032446,            0.017641,           0.0014967,             0.00703,             0.00703,             0.00703
                  11,            0.035634,            0.021464,           0.0016989,             0.74998,             0.67604,             0.73393,             0.43972,            0.031459,            0.017042,           0.0014086,              0.0067,              0.0067,              0.0067
                  12,            0.034165,            0.020753,            0.001622,             0.71762,             0.69104,             0.69719,             0.42326,            0.032842,            0.016935,           0.0013451,             0.00637,             0.00637,             0.00637
                  13,             0.03209,            0.020186,           0.0014228,             0.76282,             0.68645,             0.73398,             0.45849,            0.031945,            0.016397,           0.0012214,             0.00604,             0.00604,             0.00604
                  14,            0.030219,            0.020075,           0.0013165,             0.77155,             0.70149,             0.74002,             0.48497,            0.029388,            0.016018,           0.0010483,             0.00571,             0.00571,             0.00571
                  15,            0.030489,            0.019596,           0.0012806,             0.70053,             0.71791,             0.72344,             0.45484,             0.03068,            0.017068,           0.0011755,             0.00538,             0.00538,             0.00538
                  16,            0.028545,            0.019226,           0.0011683,             0.80434,             0.69403,              0.7651,             0.52144,            0.027357,            0.015782,          0.00093278,             0.00505,             0.00505,             0.00505
                  17,            0.027739,            0.019291,           0.0010933,             0.76243,             0.72809,             0.74447,             0.47389,            0.028466,            0.016507,           0.0011089,             0.00472,             0.00472,             0.00472
                  18,            0.027233,            0.018818,           0.0010085,             0.76445,             0.74179,             0.76583,             0.52643,             0.02766,            0.015498,          0.00087388,             0.00439,             0.00439,             0.00439
                  19,            0.025574,            0.017915,          0.00094065,             0.82439,              0.7147,             0.78187,             0.52825,            0.027446,            0.015769,          0.00086913,             0.00406,             0.00406,             0.00406
                  20,            0.025364,            0.018474,           0.0009423,             0.78059,             0.72239,             0.76404,             0.51434,            0.027088,            0.015367,           0.0008459,             0.00373,             0.00373,             0.00373
                  21,            0.025236,            0.018178,          0.00088419,             0.76166,             0.70597,             0.75686,             0.50147,            0.028562,            0.016038,          0.00076515,              0.0034,              0.0034,              0.0034
                  22,            0.024183,            0.017825,          0.00076491,             0.79259,             0.72435,             0.77458,             0.53001,            0.026615,            0.015339,          0.00065119,             0.00307,             0.00307,             0.00307
                  23,            0.022839,            0.017365,           0.0007458,             0.79653,             0.70896,             0.77842,             0.54471,            0.025813,            0.015362,           0.0006855,             0.00274,             0.00274,             0.00274
                  24,            0.022424,            0.017196,          0.00064841,             0.84522,             0.70092,             0.78351,             0.54787,            0.026368,            0.015347,          0.00060323,             0.00241,             0.00241,             0.00241
                  25,            0.021779,            0.016478,           0.0005981,             0.79792,             0.71343,             0.77534,             0.54491,            0.026494,            0.015357,          0.00061159,             0.00208,             0.00208,             0.00208
                  26,            0.020952,            0.016633,           0.0005194,               0.799,             0.71791,             0.76925,             0.54561,            0.025716,            0.015433,          0.00058494,             0.00175,             0.00175,             0.00175
                  27,            0.020601,             0.01579,          0.00045423,             0.82377,             0.72985,             0.77788,             0.55768,            0.024747,            0.015257,          0.00060172,             0.00142,             0.00142,             0.00142
                  28,            0.020261,            0.016341,           0.0004047,             0.79516,             0.74179,             0.78439,             0.56865,            0.024741,            0.015075,          0.00053449,             0.00109,             0.00109,             0.00109
                  29,            0.019784,            0.015683,          0.00037286,             0.80806,             0.73582,             0.78453,             0.56494,            0.025181,            0.015199,          0.00054844,             0.00076,             0.00076,             0.00076
