               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09635,            0.030335,            0.042047,             0.42281,             0.52679,              0.3925,              0.1637,            0.061043,            0.014351,            0.013069,           0.0032843,           0.0032843,            0.070441
                   1,            0.075991,            0.023993,           0.0097831,             0.39731,             0.39731,             0.32471,             0.13639,            0.057882,            0.010582,           0.0048485,           0.0063993,           0.0063993,            0.040223
                   2,            0.078582,            0.020174,           0.0045852,              0.4136,             0.40619,             0.29258,               0.145,             0.05944,            0.010803,            0.005627,           0.0092942,           0.0092942,           0.0097844
                   3,            0.067299,            0.020908,           0.0040068,             0.39713,             0.50875,             0.34304,             0.16012,            0.054924,           0.0099011,            0.003698,             0.00901,             0.00901,             0.00901
                   4,            0.064619,            0.022196,           0.0025979,             0.60607,             0.57143,             0.53853,             0.27446,            0.048938,            0.009673,           0.0018371,             0.00901,             0.00901,             0.00901
                   5,            0.058021,             0.02191,           0.0022964,             0.55768,             0.46875,             0.46299,             0.24575,            0.044876,           0.0096931,           0.0017863,             0.00868,             0.00868,             0.00868
                   6,            0.052718,            0.020638,           0.0020549,             0.62314,             0.57577,             0.54248,             0.28058,            0.042106,           0.0097707,           0.0014645,             0.00835,             0.00835,             0.00835
                   7,            0.051271,            0.020787,           0.0015915,             0.79984,             0.60714,             0.67381,             0.35828,            0.041003,           0.0094377,           0.0013509,             0.00802,             0.00802,             0.00802
                   8,            0.050454,            0.020692,           0.0016151,             0.75829,             0.60268,              0.6391,             0.34152,            0.041065,           0.0095276,           0.0012316,             0.00769,             0.00769,             0.00769
                   9,            0.048025,            0.020237,           0.0014994,             0.75669,               0.625,             0.65623,             0.39284,            0.043883,           0.0092458,           0.0014071,             0.00736,             0.00736,             0.00736
                  10,            0.045334,            0.019204,           0.0013046,             0.75406,             0.61595,              0.6583,             0.31281,             0.04056,           0.0090211,           0.0010814,             0.00703,             0.00703,             0.00703
                  11,            0.043417,            0.019495,           0.0013779,             0.78756,             0.62946,             0.67352,             0.40104,            0.038292,           0.0090492,           0.0010221,              0.0067,              0.0067,              0.0067
                  12,            0.043476,            0.020998,            0.001317,             0.70808,             0.66071,              0.6616,              0.3864,            0.038673,           0.0091858,           0.0010099,             0.00637,             0.00637,             0.00637
                  13,             0.04251,            0.019068,           0.0010432,             0.86919,             0.59327,             0.67946,             0.39956,            0.038244,            0.008957,          0.00090627,             0.00604,             0.00604,             0.00604
                  14,            0.039013,            0.018412,           0.0010894,             0.76522,             0.66934,             0.71663,             0.47778,            0.035772,           0.0088327,          0.00091703,             0.00571,             0.00571,             0.00571
                  15,             0.04064,            0.019299,          0.00094189,              0.7893,             0.66964,             0.68638,             0.42758,            0.039402,           0.0090514,          0.00084412,             0.00538,             0.00538,             0.00538
                  16,            0.038341,             0.01849,          0.00089197,             0.90887,             0.62946,             0.73043,             0.48445,            0.034726,           0.0087862,          0.00085792,             0.00505,             0.00505,             0.00505
                  17,             0.03798,            0.018276,          0.00090693,             0.83832,             0.62497,             0.71939,             0.50955,            0.036082,           0.0082098,          0.00087636,             0.00472,             0.00472,             0.00472
                  18,            0.035863,            0.017221,          0.00089972,             0.82474,             0.65125,             0.73021,             0.49333,            0.036424,           0.0083404,          0.00088473,             0.00439,             0.00439,             0.00439
                  19,            0.036444,            0.017266,          0.00079213,               0.883,             0.60644,             0.70679,             0.47801,            0.035652,            0.008656,          0.00091206,             0.00406,             0.00406,             0.00406
                  20,            0.035772,            0.016803,          0.00070078,             0.79476,             0.69149,              0.7316,              0.5177,            0.032946,           0.0087058,          0.00067916,             0.00373,             0.00373,             0.00373
                  21,            0.034502,            0.016797,          0.00065947,             0.78381,             0.66518,             0.71491,             0.49758,            0.034291,           0.0081587,          0.00060336,              0.0034,              0.0034,              0.0034
                  22,            0.033951,            0.016682,          0.00063055,             0.86606,             0.66518,             0.73297,             0.52413,            0.034013,           0.0085105,          0.00066832,             0.00307,             0.00307,             0.00307
                  23,            0.033153,            0.016314,          0.00061308,             0.90399,             0.63839,             0.75189,             0.51795,            0.034051,           0.0083983,          0.00062876,             0.00274,             0.00274,             0.00274
                  24,            0.030864,            0.015888,          0.00057222,              0.8642,               0.625,             0.72459,             0.51814,            0.033321,           0.0083831,          0.00063965,             0.00241,             0.00241,             0.00241
                  25,            0.029002,            0.016357,          0.00051103,             0.82283,             0.64274,             0.72747,             0.52114,             0.03146,           0.0084886,          0.00057364,             0.00208,             0.00208,             0.00208
                  26,            0.030174,            0.015539,          0.00046851,             0.81991,             0.69196,             0.74282,             0.53064,            0.030056,           0.0084256,          0.00044272,             0.00175,             0.00175,             0.00175
                  27,            0.029359,             0.01521,          0.00041779,             0.83038,             0.65625,               0.746,             0.54618,            0.029224,           0.0084822,          0.00043554,             0.00142,             0.00142,             0.00142
                  28,            0.029423,            0.014946,          0.00039645,             0.83591,             0.70536,             0.75462,             0.54679,            0.030168,           0.0083589,          0.00039192,             0.00109,             0.00109,             0.00109
                  29,             0.02807,            0.014879,          0.00036096,             0.84573,             0.70976,             0.75306,             0.55167,            0.030296,           0.0084064,          0.00038473,             0.00076,             0.00076,             0.00076
