               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073362,            0.029291,            0.024151,             0.46111,             0.63241,             0.46251,             0.19348,            0.034703,            0.010795,           0.0050793,           0.0033202,           0.0033202,            0.070118
                   1,            0.055163,            0.023911,           0.0039474,             0.46942,             0.60597,             0.49828,             0.27183,            0.031348,           0.0089548,           0.0022318,            0.006434,            0.006434,            0.039899
                   2,            0.052014,            0.022344,           0.0030493,             0.70858,             0.63504,             0.70237,              0.3868,            0.028673,            0.009687,           0.0018164,           0.0093277,           0.0093277,            0.009459
                   3,             0.04614,            0.023579,           0.0021738,             0.62788,               0.671,             0.65565,             0.34106,            0.028473,            0.010155,           0.0012631,             0.00901,             0.00901,             0.00901
                   4,            0.044187,            0.023658,           0.0016232,             0.64476,             0.66718,             0.68527,             0.37569,            0.028749,           0.0098946,          0.00097232,             0.00901,             0.00901,             0.00901
                   5,            0.042218,            0.023231,           0.0012934,             0.64702,             0.70543,               0.694,             0.39464,            0.024517,           0.0097181,          0.00086272,             0.00868,             0.00868,             0.00868
                   6,            0.040236,            0.023274,           0.0011003,             0.74849,             0.68324,             0.74363,             0.43994,            0.023079,           0.0098017,          0.00067453,             0.00835,             0.00835,             0.00835
                   7,            0.038235,             0.02283,          0.00097239,             0.69308,             0.71767,               0.728,             0.43004,            0.023394,           0.0096022,          0.00068142,             0.00802,             0.00802,             0.00802
                   8,             0.03687,            0.022616,          0.00092188,             0.76115,             0.72171,             0.76199,             0.49212,            0.021874,           0.0089574,          0.00058326,             0.00769,             0.00769,             0.00769
                   9,             0.03587,              0.0226,          0.00079188,             0.71435,             0.74429,             0.76142,             0.51639,            0.020888,           0.0089517,          0.00052883,             0.00736,             0.00736,             0.00736
                  10,            0.034851,            0.022234,          0.00072748,             0.74866,             0.72226,             0.77329,              0.5193,            0.020898,           0.0088548,           0.0004781,             0.00703,             0.00703,             0.00703
                  11,            0.032776,            0.021582,          0.00071921,             0.73939,             0.73372,             0.76975,             0.50358,            0.019996,           0.0089359,          0.00050842,              0.0067,              0.0067,              0.0067
                  12,            0.032858,            0.021569,           0.0006415,               0.799,             0.69346,               0.786,             0.54433,            0.020075,           0.0087397,          0.00043375,             0.00637,             0.00637,             0.00637
                  13,            0.031784,            0.021374,          0.00059114,             0.75843,             0.73507,             0.80064,             0.55619,            0.019449,           0.0084889,          0.00036772,             0.00604,             0.00604,             0.00604
                  14,            0.031758,            0.020864,          0.00058155,             0.74553,             0.76663,             0.79834,             0.54167,             0.01952,           0.0087023,          0.00041218,             0.00571,             0.00571,             0.00571
                  15,            0.029163,            0.020177,          0.00052495,             0.72127,             0.75363,             0.80022,             0.57012,            0.018148,            0.008462,          0.00032461,             0.00538,             0.00538,             0.00538
                  16,            0.028751,            0.019609,          0.00047738,             0.71297,             0.74904,             0.77104,             0.54355,            0.017957,           0.0086728,          0.00032497,             0.00505,             0.00505,             0.00505
                  17,            0.028215,            0.019965,           0.0004723,             0.76459,             0.75546,             0.81358,             0.58118,            0.018092,           0.0086921,          0.00032403,             0.00472,             0.00472,             0.00472
                  18,            0.027583,            0.019558,          0.00044413,             0.80692,             0.70773,             0.80441,             0.58017,            0.017657,           0.0083614,          0.00027668,             0.00439,             0.00439,             0.00439
                  19,            0.026092,             0.01924,          0.00038995,             0.75583,              0.7934,             0.81991,             0.59576,            0.017794,           0.0084245,          0.00028565,             0.00406,             0.00406,             0.00406
                  20,            0.025749,            0.018893,          0.00037119,             0.80674,              0.7391,             0.81405,             0.58812,             0.01714,           0.0082499,          0.00025169,             0.00373,             0.00373,             0.00373
                  21,            0.024883,            0.018181,          0.00034417,              0.8204,             0.74793,             0.82549,             0.60337,            0.017381,           0.0082227,          0.00024654,              0.0034,              0.0034,              0.0034
                  22,            0.024991,            0.018004,          0.00032762,             0.80912,             0.73221,             0.82365,              0.6109,            0.017134,           0.0084157,          0.00020502,             0.00307,             0.00307,             0.00307
                  23,            0.024113,            0.017699,          0.00028651,              0.7854,             0.75046,             0.82381,             0.60737,            0.016848,           0.0084925,          0.00020654,             0.00274,             0.00274,             0.00274
                  24,            0.023558,            0.017431,          0.00025358,             0.79732,             0.74675,             0.82477,             0.61274,            0.016948,           0.0083034,           0.0001787,             0.00241,             0.00241,             0.00241
                  25,            0.022841,            0.017154,          0.00022395,             0.75407,             0.78653,             0.81869,              0.6038,            0.016532,           0.0082781,          0.00015277,             0.00208,             0.00208,             0.00208
                  26,            0.022758,            0.017266,          0.00019912,             0.79218,             0.78163,             0.83944,             0.62798,            0.016531,           0.0082128,          0.00013621,             0.00175,             0.00175,             0.00175
                  27,            0.021831,             0.01684,          0.00018428,             0.77285,             0.80184,             0.83969,              0.6266,             0.01639,            0.008252,          0.00012351,             0.00142,             0.00142,             0.00142
                  28,            0.021186,            0.016449,          0.00016481,             0.78628,             0.78347,             0.83795,             0.63305,             0.01654,           0.0082818,          0.00011113,             0.00109,             0.00109,             0.00109
                  29,             0.02141,            0.016329,          0.00014506,             0.82274,             0.74904,             0.83492,             0.63454,            0.016192,           0.0080673,          0.00010057,             0.00076,             0.00076,             0.00076
