               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076834,            0.028176,            0.023755,             0.44909,              0.5516,             0.42914,             0.14608,            0.051062,             0.01225,           0.0072068,           0.0033177,           0.0033177,            0.070141
                   1,            0.060802,            0.022712,           0.0042835,             0.47179,             0.52334,             0.40295,             0.18347,            0.050947,            0.010829,           0.0066632,           0.0064315,           0.0064315,            0.039921
                   2,              0.0566,            0.021729,            0.003143,             0.68634,             0.56511,             0.60373,             0.26482,            0.044961,            0.010109,            0.003665,           0.0093254,           0.0093254,           0.0094819
                   3,            0.050798,            0.021804,           0.0022611,             0.63756,             0.57267,             0.56353,             0.30127,            0.041644,            0.010991,           0.0016349,             0.00901,             0.00901,             0.00901
                   4,            0.046355,            0.021765,           0.0018355,              0.7332,             0.60433,             0.61837,             0.33236,            0.041361,            0.010928,           0.0014846,             0.00901,             0.00901,             0.00901
                   5,            0.042997,            0.022696,           0.0013703,             0.79467,             0.66565,             0.69474,             0.37388,            0.035838,            0.010294,           0.0010417,             0.00868,             0.00868,             0.00868
                   6,             0.04267,            0.021619,           0.0012612,             0.72203,             0.67649,             0.67843,             0.38903,            0.034389,            0.010473,           0.0014002,             0.00835,             0.00835,             0.00835
                   7,            0.039558,            0.021437,           0.0010889,             0.77642,             0.65971,             0.69586,             0.42242,             0.03384,            0.010455,          0.00090062,             0.00802,             0.00802,             0.00802
                   8,            0.038499,            0.020961,            0.001046,             0.73072,             0.64496,             0.66594,             0.37478,            0.033493,            0.010446,          0.00083478,             0.00769,             0.00769,             0.00769
                   9,            0.036481,            0.020943,          0.00089903,             0.78388,             0.68305,             0.72383,             0.44969,            0.030913,            0.010085,          0.00068924,             0.00736,             0.00736,             0.00736
                  10,            0.036152,            0.020418,          0.00082177,             0.77939,             0.71253,             0.74832,              0.4458,             0.03189,           0.0099069,          0.00072851,             0.00703,             0.00703,             0.00703
                  11,            0.033879,             0.02077,          0.00076278,             0.79986,              0.6941,             0.74095,              0.4726,            0.030274,           0.0099285,          0.00066757,              0.0067,              0.0067,              0.0067
                  12,            0.035035,            0.020021,          0.00072372,             0.84164,             0.68673,             0.75072,             0.47588,             0.03078,           0.0098076,          0.00055701,             0.00637,             0.00637,             0.00637
                  13,            0.032154,            0.019499,          0.00068814,             0.74176,             0.70762,             0.73018,             0.48426,            0.028071,           0.0099824,          0.00055576,             0.00604,             0.00604,             0.00604
                  14,            0.031355,            0.019317,           0.0006502,             0.81105,             0.70134,             0.74385,              0.4791,            0.029793,            0.010046,          0.00052176,             0.00571,             0.00571,             0.00571
                  15,            0.030611,            0.019156,           0.0006038,             0.84402,             0.71128,             0.76981,             0.49339,            0.028989,            0.010005,          0.00058283,             0.00538,             0.00538,             0.00538
                  16,            0.029561,            0.019258,          0.00056191,             0.80062,             0.74079,             0.76825,             0.49479,            0.029793,           0.0098359,          0.00048617,             0.00505,             0.00505,             0.00505
                  17,             0.02847,             0.01839,          0.00053286,             0.80881,             0.71376,             0.75273,             0.50223,            0.028859,            0.010054,          0.00044889,             0.00472,             0.00472,             0.00472
                  18,            0.029707,            0.018878,          0.00047784,             0.84295,              0.6941,             0.76864,             0.50448,            0.027281,           0.0099069,          0.00041412,             0.00439,             0.00439,             0.00439
                  19,            0.027361,            0.017874,           0.0004625,              0.7681,              0.7457,             0.76252,             0.50417,             0.02745,           0.0098844,          0.00041225,             0.00406,             0.00406,             0.00406
                  20,            0.027299,            0.017727,          0.00043933,             0.82328,             0.72683,             0.77877,             0.52414,            0.027136,           0.0096724,          0.00038735,             0.00373,             0.00373,             0.00373
                  21,            0.026972,            0.017494,          0.00040807,             0.81856,              0.7285,             0.77904,             0.51858,            0.027329,           0.0099582,           0.0003405,              0.0034,              0.0034,              0.0034
                  22,            0.025818,             0.01765,             0.00039,             0.77712,             0.75184,             0.77823,             0.53177,            0.025827,           0.0096698,          0.00032801,             0.00307,             0.00307,             0.00307
                  23,            0.026347,            0.016981,          0.00033334,             0.85376,             0.72439,             0.78844,             0.55186,            0.026689,           0.0097928,          0.00032402,             0.00274,             0.00274,             0.00274
                  24,            0.024623,            0.016267,          0.00030686,             0.79805,             0.75248,             0.78213,             0.54155,            0.026664,           0.0095501,          0.00028473,             0.00241,             0.00241,             0.00241
                  25,            0.025006,             0.01653,          0.00027087,             0.83043,              0.7285,             0.78763,             0.54181,            0.026809,            0.009836,          0.00030076,             0.00208,             0.00208,             0.00208
                  26,            0.023315,            0.016092,          0.00023226,             0.80119,              0.7426,             0.77887,             0.53669,            0.026411,           0.0098012,          0.00026608,             0.00175,             0.00175,             0.00175
                  27,            0.022169,             0.01575,          0.00021978,             0.81546,             0.74447,             0.78443,             0.55084,            0.025715,           0.0098957,          0.00026323,             0.00142,             0.00142,             0.00142
                  28,            0.021027,            0.015632,          0.00018955,             0.81035,             0.74816,             0.78367,             0.55459,            0.025986,           0.0097835,            0.000235,             0.00109,             0.00109,             0.00109
                  29,            0.021523,            0.015069,          0.00017907,             0.82116,             0.75676,             0.79107,             0.55764,            0.025557,           0.0097739,          0.00022084,             0.00076,             0.00076,             0.00076
