               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095043,            0.030505,            0.040117,             0.31424,             0.39544,             0.23025,            0.095328,            0.059691,            0.013343,            0.012387,           0.0032911,           0.0032911,             0.07038
                   1,            0.075103,            0.021897,           0.0080461,             0.43381,             0.55513,             0.42128,             0.16284,            0.059949,           0.0093287,           0.0045646,           0.0064059,           0.0064059,            0.040161
                   2,            0.076893,            0.020981,              0.0044,             0.43849,             0.36819,             0.31482,             0.13555,            0.063628,           0.0090824,           0.0055841,           0.0093006,           0.0093006,           0.0097225
                   3,            0.073149,            0.019992,           0.0030646,             0.37375,             0.44106,             0.29125,            0.072188,            0.058787,           0.0088104,           0.0028245,             0.00901,             0.00901,             0.00901
                   4,             0.06614,             0.02062,           0.0028344,             0.59703,             0.62357,             0.58656,             0.29802,            0.046671,           0.0091432,           0.0017687,             0.00901,             0.00901,             0.00901
                   5,             0.05861,            0.020467,           0.0021242,             0.71838,             0.56255,             0.62549,             0.31072,            0.045648,           0.0096701,           0.0014956,             0.00868,             0.00868,             0.00868
                   6,            0.053352,             0.02096,           0.0016842,             0.61399,             0.50951,             0.52881,             0.25642,            0.049633,           0.0093025,           0.0013487,             0.00835,             0.00835,             0.00835
                   7,            0.052064,            0.021065,           0.0015138,             0.65445,             0.53232,             0.55813,             0.26715,            0.048715,           0.0096011,           0.0013561,             0.00802,             0.00802,             0.00802
                   8,            0.049067,             0.02013,           0.0016287,             0.68862,             0.55133,             0.57825,             0.32166,            0.042452,           0.0097429,           0.0013097,             0.00769,             0.00769,             0.00769
                   9,            0.049849,            0.020386,           0.0013746,             0.76934,             0.62738,             0.65933,             0.38436,            0.042492,           0.0088807,           0.0012603,             0.00736,             0.00736,             0.00736
                  10,             0.04742,            0.020091,           0.0011756,             0.71597,             0.64216,             0.66542,             0.35193,            0.041182,           0.0092672,           0.0011228,             0.00703,             0.00703,             0.00703
                  11,             0.04541,            0.019045,           0.0012072,             0.80673,             0.63483,             0.70643,             0.41588,            0.039432,           0.0091641,          0.00084056,              0.0067,              0.0067,              0.0067
                  12,             0.04693,            0.019664,           0.0010248,             0.77974,             0.68821,             0.71578,             0.42253,            0.037337,           0.0090786,          0.00086357,             0.00637,             0.00637,             0.00637
                  13,            0.042282,            0.019075,          0.00096599,             0.84536,             0.62355,             0.69648,             0.44224,            0.039055,           0.0089483,          0.00074245,             0.00604,             0.00604,             0.00604
                  14,            0.040859,            0.019178,          0.00092592,             0.79054,             0.57795,             0.67316,             0.40752,            0.037871,           0.0092169,          0.00077247,             0.00571,             0.00571,             0.00571
                  15,            0.040665,            0.019192,           0.0010281,             0.79707,               0.673,             0.71378,             0.46066,            0.035315,           0.0090419,           0.0007551,             0.00538,             0.00538,             0.00538
                  16,            0.038824,            0.017728,          0.00096662,             0.85924,             0.64987,             0.73946,             0.51089,            0.034017,           0.0088521,          0.00074186,             0.00505,             0.00505,             0.00505
                  17,            0.039665,            0.019269,          0.00084849,             0.79684,             0.65779,              0.7019,             0.46942,            0.037113,           0.0090796,          0.00064988,             0.00472,             0.00472,             0.00472
                  18,            0.036793,            0.017938,          0.00075291,             0.76948,             0.68821,             0.73588,             0.50699,            0.033365,           0.0090339,          0.00060277,             0.00439,             0.00439,             0.00439
                  19,            0.036986,            0.016578,          0.00067514,             0.81036,             0.61977,             0.70357,             0.48594,            0.033963,           0.0090595,          0.00055815,             0.00406,             0.00406,             0.00406
                  20,            0.035939,            0.017078,          0.00067874,             0.79304,              0.6616,             0.71811,             0.47328,            0.033847,           0.0092549,          0.00056001,             0.00373,             0.00373,             0.00373
                  21,            0.034772,            0.016874,           0.0006514,              0.8399,              0.6616,             0.72712,             0.49042,            0.033306,           0.0091766,          0.00057665,              0.0034,              0.0034,              0.0034
                  22,            0.031686,            0.016599,          0.00061344,              0.8082,             0.67292,             0.73788,             0.52442,            0.031752,           0.0089659,          0.00053302,             0.00307,             0.00307,             0.00307
                  23,            0.032104,            0.016006,          0.00053839,             0.82859,             0.68007,             0.74592,             0.51442,            0.031941,           0.0089181,          0.00044768,             0.00274,             0.00274,             0.00274
                  24,            0.032286,            0.016245,          0.00052418,             0.85929,             0.65019,             0.74064,             0.53386,            0.031874,           0.0092191,          0.00044956,             0.00241,             0.00241,             0.00241
                  25,            0.031228,            0.016621,          0.00047306,             0.80259,             0.69563,             0.73063,             0.52479,            0.032102,           0.0092125,           0.0004228,             0.00208,             0.00208,             0.00208
                  26,            0.030757,            0.016468,          0.00044068,              0.8108,             0.68437,              0.7325,             0.53815,            0.031049,           0.0090377,          0.00038893,             0.00175,             0.00175,             0.00175
                  27,             0.02843,            0.015734,          0.00039747,             0.87484,             0.63878,             0.74028,             0.53945,            0.029495,           0.0090773,          0.00037869,             0.00142,             0.00142,             0.00142
                  28,            0.029112,            0.015993,          0.00036964,             0.86645,              0.6692,             0.75035,             0.55278,            0.029397,            0.009053,          0.00035301,             0.00109,             0.00109,             0.00109
                  29,            0.027843,            0.015574,          0.00034711,              0.8501,              0.6692,             0.74549,             0.55178,            0.028591,           0.0090385,          0.00034432,             0.00076,             0.00076,             0.00076
